Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF2_A1_d37,20.71437,18.79758,14.07851,11.16201,10.7386,9.13892,8.1913,4.00587,1.7272,1.4388,0.00684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_d39,21.40353,9.95083,48.8029,8.57983,3.20113,3.20354,0.07732,0,0.37977,3.49503,0.10119,0.56177,0.24315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day28,0,0,0,0,0,89.76057,0,0,0,0,10.23943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day29,0,0.72464,0,0,0.99123,82.15299,1.01016,0,1.46092,0,13.62988,0,0,0.03019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day30,0,0,0,0,0,84.9591,0,0,0,0,15.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day31,0,0,0,0,0,83.83685,0,0,2.23375,0,13.9294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day32,0,0,0,0,0,76.11951,0.93006,2.11102,7.36537,0,13.47405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day41,6.71893,16.21025,26.13669,16.96476,2.94628,1.46835,5.11866,0.08093,0,14.78662,0,0.89595,8.67257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day42,0,0.58352,0.10902,11.28047,0.00906,0.02882,3.49705,0.09924,0,84.28957,0,0,0.10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day44,0,0.58246,0,3.46643,0,0.06795,4.0194,4.27829,0,87.58547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A25_N713,1.11063,2.85277,0,11.78382,8.44659,0,0,0,1.93782,0,0.34539,0,15.84817,0,40.24587,5.13646,4.18581,3.5561,3.03344,0.79028,0.72687,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_Colon,0.31045,5.43212,0.59653,8.30663,3.08479,0.98703,16.92481,12.61808,0.24584,51.10259,0.0312,0.02308,0.24873,0,0,0,0,0,0,0,0,0.08811,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_d36,31.96006,40.38254,0.28984,7.45916,4.60557,5.01675,1.44625,7.84604,0.51309,0.17174,0.30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_D37,20.79641,13.73108,35.56135,15.37574,6.87959,2.42369,0.93074,0.84672,3.45469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_d39,18.47745,12.81038,46.37376,5.09415,2.85737,2.03609,0.04671,0,0.74263,2.3679,0.14185,1.53653,7.51519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day28,0,0,0,0,0,88.77536,0,0,0,0,11.22464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day29,0,0,0,0,0,84.60121,0.06459,0,0.48981,0,14.84439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day30,0,3.3799,0.05765,0.54466,1.62813,65.22154,0.6281,0,3.2754,0,25.26462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day31,0,0,0,0,0,66.37419,0,0,2.05066,0,31.57514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day32,0,0,0,0,0,78.32072,0,0,2.84161,0,18.83767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day34,0,0,0,0,0.39482,0,13.48075,43.95535,35.42154,0,6.74754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day41,9.16119,17.40318,18.17974,13.2065,5.61668,1.78403,1.43127,1.43374,0.05561,15.42272,0,1.25076,14.92902,0,0,0,0,0,0,0,0,0.12555,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day42,2.8635,12.13223,14.58983,21.15719,2.15406,2.08719,10.50497,4.60106,1.36556,10.75562,0.1794,1.91192,15.11881,0,0,0,0,0,0,0,0,0.57868,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day44,1.17479,9.51548,5.12139,9.59965,0.47646,1.12329,40.9362,12.00705,0.85665,14.23378,0.28162,0.47367,4.00788,0,0,0,0,0,0,0,0,0.19209,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_Colon,0.83996,7.21364,0.34994,13.66918,4.28947,0.86212,24.76606,24.5727,0.98156,21.12237,0.19613,0.8641,0,0,0,0,0,0,0,0,0,0.15941,0.11337,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_d37,22.64651,35.58573,1.95604,4.44514,9.69333,4.46613,11.02884,9.39627,0.53301,0.17636,0.07265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_d39,9.92836,23.06176,5.10924,6.73319,6.5012,3.19789,20.77757,20.7956,0.11243,3.5426,0.0274,0.21277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day28,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day30,0,3.71368,0.04482,0,1.37387,71.71228,1.21235,0,1.99916,0,19.94384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day32,0,0,0,0,0,79.56077,0.37707,0.14481,9.70975,0,10.20759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day41,1.23029,7.82868,2.21677,7.70867,2.59414,1.48811,36.94312,32.8043,0.23081,6.02844,0.20452,0.72215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A3_day42,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_Colon,0,1.29805,0,19.95689,0.8625,0,3.418,5.30756,0,69.15701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_d36,31.36187,45.8521,0.61106,2.56657,4.91074,5.30424,0.7017,7.48881,0.53731,0.6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_d37,32.20051,26.62282,17.4151,4.16766,6.27962,6.04856,0.32294,4.53462,1.7898,0.43059,0,0.18779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_D39,14.43675,20.31099,32.85655,6.99765,5.86733,3.55276,0.2177,0,0.03055,5.65359,0.0173,1.87237,8.18645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day28,0,0,0,0,0,78.06725,0,0,0,0,21.93275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day29,0,0.47763,0,0,1.3317,67.2926,0.78325,0,1.63568,0,28.47914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day30,0,0,0,0,1.51394,61.90847,0.6277,0,1.4952,0,34.45468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day31,0,0,0,0,0,79.48531,0,0,0.49651,0,20.01818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day32,0.09376,0,0,0,0.66889,52.15075,5.23681,3.09818,12.22842,0,26.52319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day41,1.84197,12.23907,3.00447,12.28562,2.24263,2.46622,31.78567,27.56735,0.22292,2.6164,0.10763,1.53029,1.85702,0,0,0,0,0,0,0,0,0.23275,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day42,0.66912,5.76163,1.49262,8.32391,1.66048,0.96427,23.61127,15.64616,0.48804,39.98627,0.07582,0.74349,0.437,0,0,0,0,0,0,0,0,0.13992,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A4_day44,0,0,0,0.50229,0,0,0,0,0,99.49771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_Colon,0.07082,1.88323,0.09418,3.76327,1.35497,0.07243,7.21546,10.44084,0.0615,74.77579,0,0,0,0,0,0,0,0,0,0,0,0,0.26751,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_d39,2.88616,19.29833,5.53871,6.61878,5.15838,1.63048,26.80894,26.12804,0.27119,5.04508,0.19447,0.42145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_day28,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_day31,0,0,0,0,0,67.61136,0,0,6.48471,0,25.90393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_day32,0,0,0,0,0,71.90868,0,0,11.6873,0,16.40402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A5_day42,0,18.87119,0.36641,11.65385,4.31273,0,17.71243,42.65047,0,4.43293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_Colon,0,2.48752,0,15.28571,1.90709,0,10.96538,9.05248,0.23557,60.06624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_d33,0,0,0,0,0.17846,34.47226,1.84768,11.00346,28.00645,0,24.49168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_d36,26.73287,41.94201,1.08249,2.50917,8.96516,5.46251,3.45934,7.38418,1.19456,0.82235,0.01932,0,0.42604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_d37,23.7022,15.74523,22.69037,10.04034,12.86519,5.52095,2.42301,0.87062,1.14538,0.25353,0,0,4.74319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_D39,46.38241,10.98567,26.22661,2.71672,3.23113,1.75247,0,0,0,0.80937,0,0.30337,7.59223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day28,0,0,0,0,0.04513,85.85905,0.00914,0,0.74328,0,13.3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day29,0,0,0,0,0.12292,84.43064,0.98828,0,1.37629,0,12.69717,0.38469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day30,0,0.20891,0,0,0.48378,74.55479,0.5549,0,1.26434,0,22.93328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day31,0,0,0,0,0,63.90758,0.22546,2.14968,8.77861,0,24.93868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day32,0,0,0,0,0,56.35431,0,4.35275,10.92731,0,28.36563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A6_day44,1.53901,9.30257,0.77285,12.57064,2.4104,1.21733,32.63162,25.92474,2.6204,9.105,0.26016,1.01915,0.44175,0,0,0,0,0,0,0,0,0.15432,0.03007,0,0,0,0,0,0,0,0,0,0,0
GF2_A_dam_d33,0,0,0,0,3.5631,0,44.63667,45.25254,6.54769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A_dam_day19,8.20364,12.20428,4.83122,25.8191,9.15543,1.58364,15.6948,15.17611,2.21859,0,0.27251,0.52169,2.54,0,0,0,0,0,0,0,0,0.40468,0,1.37431,0,0,0,0,0,0,0,0,0,0
GF2_A_dam_day29,0,0,0,0,0.58153,0,48.24642,0.91928,50.25277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A_day1_dad,0,8.676,33.18845,35.48215,0.94548,8.69469,0,0,12.19561,0,0.81761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A_day1_mom,0,6.32196,24.33319,29.20755,1.79871,23.3848,0,0,12.60963,0,2.29681,0.01999,0,0,0,0,0,0,0,0,0,0.02736,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_d34,9.57711,18.55643,8.97502,9.95076,3.4161,2.67043,1.0412,32.10185,0.15304,0.0964,0,1.69899,11.76265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_d35,3.92255,16.01063,12.62212,16.37797,3.54017,1.25733,5.08534,30.7593,0,0,0,0.84079,9.58379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_day29,21.63303,20.21141,2.7224,0.09107,1.8456,42.32997,1.24473,0,1.58645,0,8.1111,0.06792,0,0,0,0.15632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_day32,52.19482,23.5262,3.62536,0.70129,3.63769,6.02669,0.27142,6.4125,0.19394,0,0.19906,1.47344,0.84962,0,0,0,0,0,0,0.88799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_day37,0.48437,9.00652,5.92158,24.43818,2.47118,0.8125,34.36442,22.05383,0.01522,0,0,0.24973,0.18248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_day41,0.89508,13.49216,2.5692,14.85817,2.84986,0.57453,38.51074,16.53734,0,5.11747,0,0.28165,0,0,0,4.31379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B1_day44,0.68032,8.05258,0.91937,8.40033,0.74157,0.96054,49.66119,14.972,0.74275,5.9925,0.2389,0.60461,0,0,0,4.06901,1.02181,0,0,1.97102,0,0.20192,0.56401,0.20556,0,0,0,0,0,0,0,0,0,0
GF2_B2_d35,13.65435,17.43825,9.29617,14.77656,2.81663,2.08945,4.10295,24.2945,0.0747,0.04744,0,1.90038,9.4735,0,0,0,0,0,0,0,0,0.03511,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day27,0,0,0,0,0.83807,85.78087,0.43633,0,0,0,12.94473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day28,0,1.4928,0,0,1.40852,81.22675,0.61122,0,0.28508,0,14.97562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day29,19.33574,19.6082,2.47415,0.07079,1.66989,37.13167,2.72775,0,0.46634,0,15.20343,0,0,0,0,0,0,0,0,1.31203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day30,58.3519,12.95366,5.92186,0.42245,4.78563,7.88141,1.48637,1.67397,1.08223,0,2.16871,1.15369,2.05606,0,0,0,0,0,0,0.06206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day31,73.94375,11.13444,6.93444,0.0742,3.08864,2.46749,0.21286,0.4744,0.25394,0,0.26881,0.46873,0.6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day37,0.29261,10.60658,5.31975,26.35987,3.62016,0.63452,22.45169,24.34081,0,0,0,0.42985,5.94416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B2_day41,0.93211,13.09048,2.37165,13.27887,1.91903,1.19211,36.82502,18.73094,0.42331,5.63826,0.11481,0.58946,0.07198,0,0,4.2134,0,0,0,0.42144,0,0.07274,0,0.11437,0,0,0,0,0,0,0,0,0,0
GF2_B2_day44,0,0,0,0.34959,0,0,0.52495,0.10461,0,99.02086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_d35,8.16063,10.16821,15.74282,19.7367,3.9127,1.98734,0.33638,28.20579,0.03252,0,0,2.77299,8.94393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day27,0.17362,1.88934,0,0,1.57634,85.3034,1.88285,0,1.59287,0,7.58158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day28,10.31263,11.37682,0,0,2.44363,66.44427,1.00977,0,0.98959,0,7.42328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day31,60.11362,18.25763,12.41191,1.42316,3.39025,2.53361,0.40551,0.04009,0.19846,0,0.38521,0.49787,0.3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day37,0.38101,9.06774,5.18811,23.42201,2.57014,0.43499,29.93083,26.58328,0,0,0,0.85922,1.56268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day41,0.671,11.21944,2.41189,16.04469,2.60842,0.94514,40.48954,18.59646,0.32699,2.68081,0,0.21303,0.10523,0,0,3.68736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B3_day44,0,0,0,6.17548,0,0,1.29406,0.46145,0,91.39104,0,0,0,0,0,0.44086,0.10634,0,0,0.03042,0,0,0.10035,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_d35,10.39077,23.67073,14.39895,7.65042,4.12301,1.28854,0,19.334,0.03298,0,0,3.39686,15.71374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day27,0,0.04361,0,0,0.45178,90.48082,1.62019,0,2.92173,0,4.48187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day28,3.1492,8.76469,0,0.19763,1.86838,62.52566,2.88736,0,11.72769,0,8.8794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day29,17.68873,19.69433,1.18484,1.18696,2.67726,44.01718,2.40299,0.97647,2.35152,0,6.63071,0,0,0,0,0,0,0,0,1.18901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day32,57.86942,15.97337,10.30961,0.4489,3.8598,6.30586,0.18779,0,0.58461,0,0.74802,2.77797,0.93466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day37,0.17171,9.24553,6.97808,28.81369,3.19351,0.28705,24.05372,22.6012,0,0,0,0.33626,4.31926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_B4_day41,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
